positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2017-04-07,Physician - Psychiatrist,Permanent,240000.0,Full-time,Per Year,Kansas,physician psychiatrist,0.12670656137359645,0.1111841896628793,0.7621092489635242,2017-04
2015-11-06,Management Analyst,Multiple,68465.0,Full-time,Per Year,Virginia,management,0.17420889284498384,0.6590287816573406,0.16676232549767558,2015-11
2015-11-10,Program Analyst,Permanent,118069.0,Full-time,Per Year,District of Columbia,,0.3333333333333333,0.3333333333333333,0.3333333333333333,2015-11
2015-11-16,"Human Resources Specialist (Staffing and Classification), GS-0201-09/11 (MP-PERM-YMJ)",Permanent,82840.0,Full-time,Per Year,Virginia,human resources staffing classification perm ymj,0.04772008166936332,0.9045536229613845,0.04772629536925208,2015-11
2015-11-17,Student Trainee,Internships,19.35,Full-time,Per Hour,District of Columbia,student trainee,0.11130933085743576,0.11365991596790592,0.7750307531746583,2015-11
2015-11-01,Police Officer ,Permanent,58800.0,Full-time,Per Year,New Jersey,police,0.6660446243232774,0.1669805729770254,0.16697480269969714,2015-11
2015-11-25,Airway Transportation System Specialist,Permanent,90253.0,Full-time,Per Year,South Carolina,airway transportation system,0.08552996438485984,0.6694471392303988,0.24502289638474142,2015-11
2016-08-26,Psychiatrist,Permanent,320000.0,Multiple Schedules,Per Year,Wyoming,psychiatrist,0.1750586447127276,0.1668591393153661,0.6580822159719063,2016-08
2015-11-27,PARKING OPERATIONS ASSISTANT (NF-02),Permanent,11.64,Part-time,Per Hour,Hawaii,parking operations,0.40406786958420826,0.4837535509494044,0.11217857946638726,2015-11
2016-11-25,Registered Nurse Manager,Permanent,91354.0,Full-time,Per Year,Louisiana,registered nurse,0.12187205563419344,0.765457896283983,0.11267004808182365,2016-11
2015-12-04,Staff Accountant - DE,Permanent,118069.0,Full-time,Per Year,District of Columbia,accountant,0.16682025023902627,0.1668330860620168,0.666346663698957,2015-12
2015-12-04,Staff Accountant - MP,Permanent,118069.0,Full-time,Per Year,District of Columbia,accountant,0.16682025023902627,0.1668330860620168,0.666346663698957,2015-12
2016-09-30,"Physician (Assistant Chief Of Staff, Specialty Medicine)",Permanent,250000.0,Full-time,Per Year,North Dakota,physician specialty medicine,0.08997541586974712,0.08356837424224968,0.8264562098880033,2016-09
